Timestamp,SnowDepth_m
2021-10-01,0.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,0.6294583333333333
2021-10-13,0.5639166666666667
2021-10-14,0.5753333333333334
2021-10-15,0.5433333333333333
2021-10-16,0.4815833333333333
2021-10-17,0.4217894736842105
2021-10-18,0.3894347826086957
2021-10-19,0.36762500000000004
2021-10-20,0.34879166666666667
2021-10-21,0.3313333333333333
2021-10-22,0.3015
2021-10-23,0.284
2021-10-24,0.2771666666666667
2021-10-25,0.2677916666666667
2021-10-26,0.3309583333333333
2021-10-27,0.323
2021-10-28,0.30291666666666667
2021-10-29,0.2806666666666667
2021-10-30,0.27437500000000004
2021-10-31,0.27420833333333333
2021-11-01,0.2727083333333334
2021-11-02,0.2770416666666667
2021-11-03,0.27529166666666666
2021-11-04,0.2714166666666667
2021-11-05,0.27045833333333336
2021-11-06,0.29970833333333335
2021-11-07,0.867
2021-11-08,0.46975000000000006
2021-11-09,0.4801666666666667
2021-11-10,0.54925
2021-11-11,0.5515416666666667
2021-11-12,0.5503333333333333
2021-11-13,0.5179583333333334
2021-11-14,0.49262500000000004
2021-11-15,0.47212499999999996
2021-11-16,0.4699583333333333
2021-11-17,0.4712083333333333
2021-11-18,0.46654166666666663
2021-11-19,0.47641666666666665
2021-11-20,0.5485416666666667
2021-11-21,0.5436666666666667
2021-11-22,0.5395217391304348
2021-11-23,0.5513750000000001
2021-11-24,0.6368285714285715
2021-11-25,0.6339583333333333
2021-11-26,0.6222916666666667
2021-11-27,0.6205833333333334
2021-11-28,0.6040869565217392
2021-11-29,0.5984166666666667
2021-11-30,0.617
2021-12-01,0.5893333333333334
2021-12-02,0.5521666666666667
2021-12-03,0.5404583333333334
2021-12-04,0.5376666666666666
2021-12-05,0.5300833333333334
2021-12-06,0.5515833333333333
2021-12-07,0.6451666666666667
2021-12-08,0.640875
2021-12-09,0.6330416666666666
2021-12-10,0.65375
2021-12-11,0.6545833333333334
2021-12-12,0.631375
2021-12-13,0.6138750000000001
2021-12-14,0.6352083333333333
2021-12-15,0.8504583333333334
2021-12-16,0.843375
2021-12-17,0.8649999999999999
2021-12-18,0.8446666666666666
2021-12-19,0.8264166666666667
2021-12-20,0.8996666666666666
2021-12-21,0.8805416666666667
2021-12-22,0.8640416666666666
2021-12-23,0.8550416666666667
2021-12-24,0.9800416666666667
2021-12-25,0.9526666666666666
2021-12-26,1.0178333333333334
2021-12-27,1.0644166666666666
2021-12-28,1.0416666666666667
2021-12-29,1.0585833333333332
2021-12-30,1.045375
2021-12-31,1.1533333333333333
2022-01-01,1.1268636363636364
2022-01-02,1.0850416666666667
2022-01-03,0.9805416666666668
2022-01-04,0.9046666666666666
2022-01-05,1.031
