,Timestamp,swe
245,2022-06-03,403.266
246,2022-06-04,377.988
247,2022-06-05,338.451
248,2022-06-06,324.342
249,2022-06-07,313.976
250,2022-06-08,297.655
251,2022-06-09,280.812
252,2022-06-10,218.719
253,2022-06-11,156.626
254,2022-06-12,146.219
255,2022-06-13,120.475
256,2022-06-14,116.872
257,2022-06-15,106.336
258,2022-06-16,77.646
259,2022-06-17,75.225
260,2022-06-18,72.805
261,2022-06-19,70.384
262,2022-06-20,70.384
263,2022-06-21,70.384
264,2022-06-22,70.384
265,2022-06-23,70.384
266,2022-06-24,70.384
267,2022-06-25,0.000
268,2022-06-26,0.000
269,2022-06-27,0.000
270,2022-06-28,0.000
271,2022-06-29,0.000
272,2022-06-30,0.000
