,Timestamp,swe,SnowDepth_m,density,day,labels
0,2021-10-01,0.0,0.0,,01,Oct 01
1,2021-10-02,0.0,0.0,,02,Oct 02
2,2021-10-03,0.0,0.0,,03,Oct 03
3,2021-10-04,0.0,0.0,,04,Oct 04
4,2021-10-05,0.0,0.0,,05,Oct 05
5,2021-10-06,0.0,0.0,,06,Oct 06
6,2021-10-07,0.0,0.0,,07,Oct 07
7,2021-10-08,0.0,0.0,,08,Oct 08
8,2021-10-09,0.0,0.0,,09,Oct 09
9,2021-10-10,0.0,0.0,,10,Oct 10
10,2021-10-11,0.0,0.0,,11,Oct 11
11,2021-10-12,55.791,0.6294583333333333,88.63334877871185,12,Oct 12
12,2021-10-13,67.365,0.5639166666666667,119.4591399438451,13,Oct 13
13,2021-10-14,75.266,0.5753333333333334,130.82155272305909,14,Oct 14
14,2021-10-15,75.266,0.5433333333333333,138.52638036809816,15,Oct 15
15,2021-10-16,75.266,0.4815833333333333,156.2886312510815,16,Oct 16
16,2021-10-17,75.266,0.4217894736842105,178.44447217369606,17,Oct 17
17,2021-10-18,75.266,0.3894347826086957,193.26984481411188,18,Oct 18
18,2021-10-19,75.266,0.367625,204.73580414824892,19,Oct 19
19,2021-10-20,75.266,0.3487916666666666,215.7907060088401,20,Oct 20
20,2021-10-21,75.266,0.3313333333333333,227.16096579476863,21,Oct 21
21,2021-10-22,75.266,0.3015,249.63847429519075,22,Oct 22
22,2021-10-23,75.266,0.284,265.02112676056345,23,Oct 23
23,2021-10-24,75.266,0.2771666666666667,271.5550210463019,24,Oct 24
24,2021-10-25,75.266,0.2677916666666667,281.061770655049,25,Oct 25
25,2021-10-26,81.255,0.3309583333333333,245.51428931134333,26,Oct 26
26,2021-10-27,81.255,0.323,251.56346749226003,27,Oct 27
27,2021-10-28,81.255,0.3029166666666666,268.242090784044,28,Oct 28
28,2021-10-29,81.255,0.2806666666666667,289.5071258907363,29,Oct 29
29,2021-10-30,81.255,0.274375,296.14578587699316,30,Oct 30
30,2021-10-31,81.255,0.2742083333333333,296.3257863546574,31,Oct 31
31,2021-11-01,81.255,0.2727083333333334,297.955691367456,01,Nov 01
32,2021-11-02,81.255,0.2770416666666667,293.29523236576927,02,Nov 02
33,2021-11-03,81.255,0.2752916666666666,295.1596791281974,03,Nov 03
34,2021-11-04,81.255,0.2714166666666667,299.3736567393306,04,Nov 04
35,2021-11-05,81.255,0.2704583333333333,300.434447696811,05,Nov 05
36,2021-11-06,84.042,0.2997083333333333,280.41262338384547,06,Nov 06
37,2021-11-07,137.371,0.867,158.44405997693195,07,Nov 07
38,2021-11-08,137.371,0.46975,292.4342735497605,08,Nov 08
39,2021-11-09,137.371,0.4801666666666667,286.09024644220756,09,Nov 09
40,2021-11-10,144.437,0.54925,262.9713245334547,10,Nov 10
41,2021-11-11,144.437,0.5515416666666667,261.8786734154265,11,Nov 11
42,2021-11-12,144.437,0.5503333333333333,262.4536644457904,12,Nov 12
43,2021-11-13,144.437,0.5179583333333334,278.858338025903,13,Nov 13
44,2021-11-14,144.437,0.492625,293.1986805379346,14,Nov 14
45,2021-11-15,144.437,0.4721249999999999,305.9295737357692,15,Nov 15
46,2021-11-16,144.437,0.4699583333333333,307.34001241244795,16,Nov 16
47,2021-11-17,144.437,0.4712083333333333,306.5247148288974,17,Nov 17
48,2021-11-18,144.437,0.4665416666666666,309.5907832455123,18,Nov 18
49,2021-11-19,144.437,0.4764166666666666,303.17369249606446,19,Nov 19
50,2021-11-20,151.481,0.5485416666666667,276.15222180022784,20,Nov 20
51,2021-11-21,151.481,0.5436666666666667,278.6284488044144,21,Nov 21
52,2021-11-22,151.481,0.5395217391304348,280.7690386010154,22,Nov 22
53,2021-11-23,151.481,0.5513750000000001,274.73316708229424,23,Nov 23
54,2021-11-24,160.38,0.6368285714285715,251.84171564448826,24,Nov 24
55,2021-11-25,160.38,0.6339583333333333,252.98192573118635,25,Nov 25
56,2021-11-26,160.38,0.6222916666666667,257.72480749916303,26,Nov 26
57,2021-11-27,160.38,0.6205833333333334,258.4342688330871,27,Nov 27
58,2021-11-28,160.38,0.6040869565217392,265.4915790988916,28,Nov 28
59,2021-11-29,160.38,0.5984166666666667,268.00724133129086,29,Nov 29
60,2021-11-30,163.201,0.617,264.5072933549433,30,Nov 30
61,2021-12-01,163.201,0.5893333333333334,276.9247737556561,01,Dec 01
62,2021-12-02,163.201,0.5521666666666667,295.5647449441594,02,Dec 02
63,2021-12-03,163.201,0.5404583333333334,301.96777426566956,03,Dec 03
64,2021-12-04,163.201,0.5376666666666666,303.5356478611283,04,Dec 04
65,2021-12-05,163.201,0.5300833333333334,307.8780066027354,05,Dec 05
66,2021-12-06,165.628,0.5515833333333333,300.27738329052727,06,Dec 06
67,2021-12-07,175.069,0.6451666666666667,271.3546887109274,07,Dec 07
68,2021-12-08,175.069,0.640875,273.1718353813146,08,Dec 08
